央视频道,#genre#
CCTV10,http://113.120.108.132:4000/rtp/239.21.1.155:5002$未知
CCTV10,http://113.120.99.168:7004/rtp/239.21.1.155:5002$未知
CCTV10,http://117.64.102.205:4022/rtp/238.1.78.241:7800$未知
CCTV10,http://144.255.16.170:6688/rtp/239.21.1.155:5002$未知
CCTV10,http://171.120.189.21:89/rtp/226.0.2.162:9208$未知
CCTV10,http://171.8.84.159:8800/rtp/239.16.10.108:2000$未知
CCTV10,http://171.83.2.139:1234/rtp/239.254.96.158:9022$未知
CCTV10,http://183.164.63.130:5000/rtp/238.1.78.241:7800$未知
CCTV10,http://183.191.140.139:8001/rtp/226.0.2.162:9208$未知
CCTV10,http://183.191.140.139:8002/rtp/226.0.2.162:9208$未知
CCTV10,http://220.176.218.27:9000/rtp/239.252.220.91:5140$未知
CCTV10,http://221.232.243.168:40000/rtp/239.254.96.158:9022$未知
CCTV10,http://221.232.243.168:40000/rtp/239.69.1.105:10268$未知
CCTV10,http://27.17.213.212:8888/rtp/239.254.96.158:9022$未知
CCTV10,http://27.17.213.212:8888/rtp/239.69.1.105:10268$未知
CCTV10,http://27.17.214.13:8888/rtp/239.254.96.158:9022$未知
CCTV10,http://27.17.214.13:8888/rtp/239.69.1.105:10268$未知
CCTV10,http://27.19.67.44:8888/rtp/239.254.96.158:9022$未知
CCTV10,http://27.19.67.44:8888/rtp/239.69.1.105:10268$未知
CCTV10,http://27.210.20.247:4001/rtp/239.253.254.234:8000$未知
CCTV10,http://27.210.20.247:4002/rtp/239.253.254.234:8000$未知
CCTV10,http://27.223.143.225:4001/rtp/239.253.254.234:8000$未知
CCTV10,http://27.223.143.225:4002/rtp/239.253.254.234:8000$未知
CCTV10,http://27.223.143.234:4001/rtp/239.253.254.234:8000$未知
CCTV10,http://27.223.143.234:4002/rtp/239.253.254.234:8000$未知
CCTV10,http://27.223.171.195:4001/rtp/239.253.254.234:8000$未知
CCTV10,http://39.77.21.232:4001/rtp/239.253.254.234:8000$未知
